"entity","field","value","source_key","run","date"
"France","gov_sport_spend_per_athlete","~62 EUR (calc: 1.023bn mission budget / 16.5M licences, 2023-24 basis, mismatched years)","web:licences sportives France INJEP 2023 nombre chiffres clés du sport","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_budget_annual","315.7 million EUR (2024 ordinary contributions distributed by Sport e Salute to sport organisations: FSN, EPS, DSA, associations, military sport bodies)","sportesalute.eu/primo-piano/4875-assegnazione-dei-contributi-agli-organismi-sportivi-2024.html","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_budget_annual","343.7 million EUR (2025 ordinary contributions distributed by Sport e Salute to sport)","sportesalute.eu/primo-piano/assegnazione-dei-contributi-agli-organismi-sportivi-2025.html","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_budget_annual","410 million EUR statutory minimum annual state contribution to sport (via 32% earmarked-tax mechanism on IRES/IVA/IRAP/IRPEF from sport-linked economic activity, funding Sport e Salute)","sportefinanza.it/2024/12/24/legge-di-bilancio-sport-manovra","2026-08-09a@OR","2026-08-09"
"Italy","population","58,971,230","engine:google ISTAT popolazione residente Italia 2024 numero abitanti 1 gennaio","2026-08-09a@OR","2026-08-09"
"Italy","registered_athletes","~5 million tesserati in national sport federations (FSN) + ~9.4 million in sport promotion entities (EPS) = ~13.2 million combined per CONI 'I numeri dello sport 2023'","engine:google ""tesserati"" CONI 2023 totale numeri dello sport","2026-08-09a@OR","2026-08-09"
"Spain — CSD","gov_sport_budget_annual","375,000,000 EUR","websearch:consejo superior de deportes presupuesto 2023 375 millones","2026-08-09a@OR","2026-08-09"
"Spain — CSD","registered_athletes","4,271,300","websearch:licencias federadas espana 2023 csd estadistica deporte numero licencias","2026-08-09a@OR","2026-08-09"
"Spain","population","48,619,695","websearch:ine poblacion espana 2024 total habitantes","2026-08-09a@OR","2026-08-09"
"Spain — CSD","gov_sport_spend_per_capita","~7.71 EUR","websearch:ine poblacion espana 2024 total habitantes","2026-08-09a@OR","2026-08-09"
"Spain — CSD","gov_sport_spend_per_athlete","~87.79 EUR","websearch:licencias federadas espana 2023 csd estadistica deporte numero licencias","2026-08-09a@OR","2026-08-09"
"Netherlands","gov_sport_budget_annual","EUR 221.1 million (2024, Artikel 6 Sport en bewegen, VWS)","rijksfinancien.nl/memorie-van-toelichting/2024/OWB/XVI/onderdeel/2112074","2026-08-09a@OR","2026-08-09"
"Netherlands","registered_athletes","4,300,000 (4.3 million georganiseerde sporters, 2024)","nocnsf.nl/leden-van-nocnsf","2026-08-09a@OR","2026-08-09"
"Netherlands","population","18,050,000 (18.05 million, end 2024)","engine:cbs bevolking nederland 2024 inwoners aantal","2026-08-09a@OR","2026-08-09"
"Netherlands","gov_sport_spend_per_capita","~EUR 12.25 (derived: 221.1M / 18.05M pop)","rijksfinancien.nl/memorie-van-toelichting/2024/OWB/XVI/onderdeel/2112074","2026-08-09a@OR","2026-08-09"
"Netherlands","gov_sport_spend_per_athlete","~EUR 51.4 (derived: 221.1M / 4.3M registered athletes)","rijksfinancien.nl/memorie-van-toelichting/2024/OWB/XVI/onderdeel/2112074","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_budget_annual","~2,300,000,000 SEK (2024, statens stöd till idrotten, up from 1.9bn ~2015)","idrottsstatistik.se/ekonomi-och-etik/statens-stod-till-idrotten","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_budget_annual","~1,800,000,000-1,900,000,000 SEK/yr distributed by RF","websearch:RF statsanslag 2025 statligt stod idrotten miljoner kronor riksidrottsforbundet","2026-08-09a@OR","2026-08-09"
"Sweden","registered_athletes","~3,000,000 members (medlemmar) in ~18,000 sports clubs, 2024","idrottsstatistik.se/foreningsidrott/medlemmar","2026-08-09a@OR","2026-08-09"
"Sweden","population","10,605,500","scb.se:sweden population 2025 befolkning","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_spend_per_capita","~217 SEK/capita (2,300,000,000 / 10,605,500)","idrottsstatistik.se/ekonomi-och-etik/statens-stod-till-idrotten","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_spend_per_athlete","~767 SEK/member (2,300,000,000 / 3,000,000)","idrottsstatistik.se/ekonomi-och-etik/statens-stod-till-idrotten","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_budget_annual","965,000,000 NOK (spillemidler direct to NIF/idrettsorganisasjonen, post 1) — 2025","idrettsforbundet.no/nyheter/2025/takknemlige-for-965-millioner-i-spillemidler-til-norsk-idrett","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_budget_annual","4,250,000,000 NOK total spillemidler allocated to idrettsformål (all categories: facilities 2,179M + org 965M + local activity + other) — 2025","idrettspolitikk.no/2025/05/09/idrettspresidenten-jubler-regjeringen-med-kjempetildeling-pa-425-milliarder","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_budget_annual","2,179,000,000 NOK to sports facilities (anlegg), +16.6% YoY — 2025","idrettsforbundet.no/nyheter/2025/regjeringen-lytter-til-idretten-og-bevilger-nesten-22-milliarder-til-idrettsanlegg","2026-08-09a@OR","2026-08-09"
"Norway","registered_athletes","1,887,644 memberships (medlemskap) in NIF-affiliated regular sports clubs, end of 2024 (+25,000 YoY)","engine:idrettsforbundet.no nøkkeltall medlemmer 2024 antall medlemskap","2026-08-09a@OR","2026-08-09"
"Norway","registered_athletes","~1,700,000 active members (aktive medlemmer), end of 2024 (+~50,000 / +3% YoY)","engine:idrettsforbundet.no nøkkeltall medlemmer 2024 antall medlemskap","2026-08-09a@OR","2026-08-09"
"Norway","population","5,627,400","ssb.no/befolkning/folketall","2026-08-09a@OR","2026-08-09"
"Norway","population","5,594,300 (derived: 5,627,400 minus +33,100 growth in 2025)","ssb.no/befolkning/folketall","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_spend_per_capita","~172.5 NOK/capita using org-only 965M / pop 5,594,300 (2025)","idrettsforbundet.no/nyheter/2025/takknemlige-for-965-millioner-i-spillemidler-til-norsk-idrett","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_spend_per_capita","~759.7 NOK/capita using total 4.25bn / pop 5,594,300 (2025)","idrettspolitikk.no/2025/05/09/idrettspresidenten-jubler-regjeringen-med-kjempetildeling-pa-425-milliarder","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_spend_per_athlete","~511 NOK/member using org-only 965M / 1,887,644 memberships (2024/2025 mix)","idrettsforbundet.no/nyheter/2025/takknemlige-for-965-millioner-i-spillemidler-til-norsk-idrett","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_spend_per_athlete","~2,251 NOK/member using total 4.25bn / 1,887,644 memberships","idrettspolitikk.no/2025/05/09/idrettspresidenten-jubler-regjeringen-med-kjempetildeling-pa-425-milliarder","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_budget_annual","155 million EUR (state budget proposal, main title 29.90 Liikuntatoimi)","budjetti.vm.fi:sisalto 2025 aky 29/90/90","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_budget_annual","~150 million EUR (actual used, per news summary of state sport budget)","search:liikuntabudjetti 2025 155 miljoonaa OR 150 miljoonaa valtion talousarvio liikunta","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_budget_annual","157.8 million EUR (2026 budget proposal, for trend context)","search:liikuntabudjetti 2025 155 miljoonaa OR 150 miljoonaa valtion talousarvio liikunta","2026-08-09a@OR","2026-08-09"
"Finland","population","5,652,881 (end of 2025, official)","search:finland population 2025 statistics finland","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_spend_per_capita","~27.4 EUR/capita (155M EUR / 5,652,881 pop, derived not officially published)","budjetti.vm.fi:sisalto 2025 aky 29/90/90","2026-08-09a@OR","2026-08-09"
"Finland","registered_athletes","900,000+ registered users in Suomisport digital sport-license/membership platform covering 90 member federations of the Finnish Olympic Committee (proxy for registered athletes, not an official single count; figure as of 2024)","search:olympiakomitea jasenmaara lisenssit rekisteroityja urheilijoita suomi","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_spend_per_athlete","not found — no official/reconcilable figure; could be derived as ~172 EUR (155M/900k) but base is a weak proxy (Suomisport users != athletes)","search:olympiakomitea jasenmaara lisenssit rekisteroityja urheilijoita suomi","2026-08-09a@OR","2026-08-09"
"Finland Olympic Committee (Olympiakomitea)","gov_sport_budget_annual","6.4 million EUR OKM general grant to Finnish Olympic Committee (2024/2025 grant round)","okm.fi/-/liikuntaa-edistaville-jarjestoille-avustuksia-yli-40-miljoonaa-euroa","2026-08-09a@OR","2026-08-09"
"Finland sport federations (total, 115 orgs)","gov_sport_budget_annual","40,581,960 EUR total OKM general grants to 115 sport-promoting organizations","okm.fi/-/liikuntaa-edistaville-jarjestoille-avustuksia-yli-40-miljoonaa-euroa","2026-08-09a@OR","2026-08-09"
"Denmark","population","5,992,734 (1 Jan 2025); 6,001,008 (1 May 2025)","engine:Danmarks Statistik befolkning 2025 5,9 millioner","2026-08-09a@OR","2026-08-09"
"Denmark","registered_athletes","2,140,630 (DIF members only, 2025)","engine:DIF medlemstal 2024 2025 antal medlemmer","2026-08-09a@OR","2026-08-09"
"Denmark","registered_athletes","2,842,139 (combined DIF+DGI+Dansk Firmaidræt members, 2025)","engine:DIF medlemstal 2024 2025 antal medlemmer","2026-08-09a@OR","2026-08-09"
"Denmark","registered_athletes","2,484,217 (DIF+DGI combined, 2024)","engine:DIF medlemstal 2024 2025 antal medlemmer","2026-08-09a@OR","2026-08-09"
"Denmark - DIF (Danmarks Idrætsforbund)","gov_sport_budget_annual","~313 mio DKK/yr from udlodningsmidler (lottery distribution funds) — DIF's own share only, ~94% redistributed to 62 national federations","dif.dk/om-dif/oekonomi/udlodningsmidler","2026-08-09a@OR","2026-08-09"
"Denmark - DIF","gov_sport_budget_annual","298.0 mio DKK (2025, single-source secondary figure, conflicts with dif.dk's ~313m)","engine:udlodningsmidler til idræt mio kr 2025 fordeling Team Danmark DIF DGI","2026-08-09a@OR","2026-08-09"
"Denmark - DGI","gov_sport_budget_annual","276.7 mio DKK/yr from udlodningsmidler","engine:DGI udlodningsmidler mio kr årligt modtager","2026-08-09a@OR","2026-08-09"
"Denmark - Team Danmark","gov_sport_budget_annual","92-96 mio DKK/yr (roughly stable over past decade) from udlodningsmidler","engine:udlodningsmidler til idræt mio kr 2025 fordeling Team Danmark DIF DGI","2026-08-09a@OR","2026-08-09"
"Denmark","gov_sport_budget_annual","Total pool of udlodningsmidler (all purposes: sport+culture+voluntary work) = 1,787 mio DKK in 2025; sport-only subtotal NOT isolated from any single source found (sum of known sport recipients DIF 313 + DGI 276.7 + Team Danmark ~94 = ~684 mio DKK, but full list incl. Dansk Firmaidræt, Lokale og Anlægsfonden, Parasport Danmark, Anti Doping Danmark, Sport Event Denmark etc. not itemized)","engine:kum.dk udlodningsmidler idraet 2025 mio kr","2026-08-09a@OR","2026-08-09"
"Poland","gov_sport_budget_annual","3,452,000,000 PLN (2025 planned, kultura fizyczna i sport total incl. FRKF)","websearch:ministerstwo sportu i turystyki budżet 2025 mld zł","2026-08-09a@OR","2026-08-09"
"Poland","registered_athletes","858000","websearch:licencj zawodnicze związków sportowych 2024 gus liczba osób","2026-08-09a@OR","2026-08-09"
"Poland","population","37330000","websearch:poland population 2025 gus 37 million official","2026-08-09a@OR","2026-08-09"
"Poland","gov_sport_spend_per_capita","~92.5 PLN","websearch:ministerstwo sportu i turystyki budżet 2025 mld zł","2026-08-09a@OR","2026-08-09"
"Poland","gov_sport_spend_per_athlete","~4023 PLN","websearch:ministerstwo sportu i turystyki budżet 2025 mld zł","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_budget_annual_HP","EUR 25,000,000 (2024) / EUR 27,000,000 (2025) / EUR 28,500,000 (2026, announced)","websearch:sport ireland high performance funding 2025 investment carded athletes","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_budget_annual_core","EUR ~29,900,000 (2024): EUR 17.3m NGB core funding + EUR 11.4m Local Sports Partnerships (29 LSPs), '~30m total core' per Irish Times","websearch:sport ireland annual report 2024 exchequer funding million","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_budget_annual_total","EUR 115,160,000 (2025 total Sport Ireland exchequer allocation)","websearch:sport ireland total exchequer allocation 2025 grant-in-aid 100 million","2026-08-09a@OR","2026-08-09"
"Ireland","population","5,380,300","websearch:cso ireland population 2024 estimate","2026-08-09a@OR","2026-08-09"
"Ireland","registered_athletes_carded","129 athletes (+11 relays/pool funding across 16 sports; 29 at Podium level)","websearch:sport ireland carded athletes total number international carding scheme 2025","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_spend_per_athlete_carded","EUR ~32,143 (EUR 4,500,000 / 140 supported athletes+relays, 2025, rough)","websearch:sport ireland carded athletes total number international carding scheme 2025","2026-08-09a@OR","2026-08-09"
"Switzerland — BASPO","gov_sport_budget_annual","CHF 293 million (total BASPO expenditure, 2025)","web:baspo jahresbericht 2024 budget millionen franken bundesamt für sport","2026-08-09a@OR","2026-08-09"
"Switzerland — Jugend+Sport (BASPO)","gov_sport_budget_annual","CHF 115 million (federal J+S subsidy, baseline 2024-2025)","baspo.admin.ch:der-bundesrat-erhoeht-die-mittel-fuer-das-foerderprogramm-jugendsport","2026-08-09a@OR","2026-08-09"
"Switzerland","population","9,048,900 (permanent resident population, ständige Wohnbevölkerung)","web:ständige wohnbevölkerung ende 2024 9'048'900 bfs.admin.ch","2026-08-09a@OR","2026-08-09"
"Switzerland — Swiss Olympic","registered_athletes","~2.5 million active members across 18,440 clubs (117 member organizations: 87 sports federations + 30 partner orgs)","swissolympic.ch:ueber-swiss-olympic/mitglieder_swiss_olympic","2026-08-09a@OR","2026-08-09"
"Switzerland — Swiss Olympic","registered_athletes","~2 million licensed athletes (approx, secondary estimate)","web:swiss olympic mitgliederzahlen sportverbände lizenzierte athleten 2024","2026-08-09a@OR","2026-08-09"
"Switzerland — Jugend+Sport (BASPO)","registered_athletes","703,700 children/youth participants in J+S courses and camps (2025), ~half of Swiss 5-20 age population; 680,000+ in 2024 (+6% YoY)","baspo.admin.ch:jugendsport-die-erfolgsgeschichte-geht-weiter","2026-08-09a@OR","2026-08-09"
"Switzerland — BASPO","gov_sport_spend_per_capita","not directly published; derivable as CHF 293M / 9,048,900 pop ≈ CHF 32.4 per capita (2025 budget vs 2024 pop, imprecise)","web:baspo jahresbericht 2024 budget millionen franken bundesamt für sport","2026-08-09a@OR","2026-08-09"
"Australia","gov_sport_budget_annual","AUD 479,745,000","health.gov.au/sites/default/files/2025-03/2025-26_health_pbs_4.06_asc.pdf","2026-08-09a@OR","2026-08-09"
"Australia","gov_sport_budget_annual","AUD 613,833,000","health.gov.au/sites/default/files/2025-03/2025-26_health_pbs_4.06_asc.pdf","2026-08-09a@OR","2026-08-09"
"Australia","population","27,614,411","google:Australia population 2025 ABS estimate resident population","2026-08-09a@OR","2026-08-09"
"Australia","gov_sport_spend_per_capita","AUD 17.37","health.gov.au/sites/default/files/2025-03/2025-26_health_pbs_4.06_asc.pdf","2026-08-09a@OR","2026-08-09"
"Australia","registered_athletes","~3,000,000 (children 0-14, organised sport, annual)","google:AusPlay 2023-24 organised sport participation number million Australians","2026-08-09a@OR","2026-08-09"
"Australia","registered_athletes","40% of adults participate in organised sport or physical activity","google:AusPlay 2023-24 organised sport participation number million Australians","2026-08-09a@OR","2026-08-09"
"New Zealand","population","5,330,600","engine:web:new zealand population 2025 stats.govt.nz estimate","2026-08-09a@OR","2026-08-09"
"New Zealand — Sport NZ Group","gov_sport_budget_annual","NZD 226.2 million (Crown $157.7m + Lottery Grants Board $68.5m)","sportnz.org.nz/media/0ccb0rn1/2023_24-sport-nz-annual-report-6_17.pdf","2026-08-09a@OR","2026-08-09"
"New Zealand — Sport NZ Group","gov_sport_budget_annual","NZD ~194 million (excl. residual COVID-19 recovery funding)","engine:web:sport nz budget 2024 vote sport and recreation appropriation","2026-08-09a@OR","2026-08-09"
"New Zealand — HPSNZ","gov_sport_budget_annual","NZD 40.7 million/year direct to National Sporting Organisations (part of $162.8m over 4-yr cycle to LA2028)","engine:web:hpsnz annual investment 2024 2025 total million athletes funded","2026-08-09a@OR","2026-08-09"
"New Zealand — HPSNZ","gov_sport_budget_annual","NZD 43.7 million/year (direct to NSOs, $131m over 3yr to Paris 2024)","hpsnz.org.nz/about-us/news-media/hpsnz-announces-131-million-direct-investment-in-sports","2026-08-09a@OR","2026-08-09"
"New Zealand — HPSNZ","registered_athletes","~400-420 carded/funded athletes (240-260 high performance @ $25,000/yr base training grant + 140-160 high performance potential @ $10,000/yr)","hpsnz.org.nz/journal-entries/big-jump-in-direct-financial-support-for-athletes-in-hpsnz-2024-strategy","2026-08-09a@OR","2026-08-09"
"New Zealand — HPSNZ","registered_athletes","559 pathway athletes (current, at time of article) rising to up to 920 pathway athletes (future TAPS-era system)","hpsnz.org.nz/journal-entries/big-jump-in-direct-financial-support-for-athletes-in-hpsnz-2024-strategy","2026-08-09a@OR","2026-08-09"
"Japan","gov_sport_budget_annual","35.9 billion JPY (FY2023, MEXT+Japan Sports Agency combined)","ssf.or.jp/en/features/white_paper_on_sport/2023_1_3.html","2026-08-09a@OR","2026-08-09"
"Japan","gov_sport_budget_annual","36.1 billion JPY (FY2024, MEXT+JSA combined)","statista.com/statistics/933140/japan-sports-budget-government","2026-08-09a@OR","2026-08-09"
"Japan","gov_sport_budget_annual","FY2025 (令和7年度) itemized items found: athletic facilities 3,208,456 thousand JPY; competitive sports strength development 10,391,360 thousand JPY; regional sports club transition 3,193,124 thousand JPY; para-sports promotion 230,372 thousand JPY — no single consolidated FY2025 agency total located","mext.go.jp/sports/content/250123-spt_kensport01-000039902_09.pdf","2026-08-09a@OR","2026-08-09"
"Japan","population","123.4 million (as of April 1, 2025)","web:Japan population 2025 total stat.go.jp","2026-08-09a@OR","2026-08-09"
"Japan","registered_athletes","5,961,343 (sum of individual registered members across 71 responding national sports federations, not a comprehensive national total)","web:日本 登録スポーツ選手数 統計 JOC 競技団体登録者数","2026-08-09a@OR","2026-08-09"
"Japan","gov_sport_spend_per_capita","approx. 292.5 JPY/person (calc: 36.1B JPY / 123.4M population)","statista.com/statistics/933140/japan-sports-budget-government","2026-08-09a@OR","2026-08-09"
"Japan","gov_sport_spend_per_athlete","approx. 6,055 JPY/athlete (calc: 36.1B JPY / 5,961,343 registered athletes)","statista.com/statistics/933140/japan-sports-budget-government","2026-08-09a@OR","2026-08-09"
"South Korea","gov_sport_budget_annual","1.6751 trillion KRW (MCST sports sector budget, 2025)","welcon.kocca.kr/en/support/issue-focus/81","2026-08-09a@OR","2026-08-09"
"South Korea","gov_sport_budget_annual","1.6987 trillion KRW (MCST sports sector budget, 2026)","koreaherald.com/article/10629068","2026-08-09a@OR","2026-08-09"
"South Korea","gov_sport_budget_annual_ministry_total","7.1214 trillion KRW (MCST total ministry budget, 2025)","welcon.kocca.kr/en/support/issue-focus/81","2026-08-09a@OR","2026-08-09"
"South Korea","population","51,741,963 (2024)","engine:korea population kosis 총인구 2024 2025","2026-08-09a@OR","2026-08-09"
"South Korea","population","51,690,479 (2025)","engine:korea population kosis 총인구 2024 2025","2026-08-09a@OR","2026-08-09"
"South Korea","gov_sport_spend_per_capita","~32,400 KRW/person (derived: 1.6751tn / 51.69M, 2025)","welcon.kocca.kr/en/support/issue-focus/81","2026-08-09a@OR","2026-08-09"
"China","population","1408280000","engine:中国 总人口 2024 国家统计局 14亿","2026-08-09a@OR","2026-08-09"
"China — General Administration of Sport (central-level agency, 本级)","gov_sport_budget_annual","CNY 642,161,600 (64,216.16万元)","sport.gov.cn/n315/n332/c28974961/part/28974971.pdf","2026-08-09a@OR","2026-08-09"
"China — General Administration of Sport","gov_sport_budget_annual","CNY 4,137,000,000 (41.37亿元)","engine:中国 体育彩票公益金 2024 用于体育事业 亿元","2026-08-09a@OR","2026-08-09"
"China Football Association","registered_athletes","539000","engine:中国 注册运动员 人数 国家体育总局 statistics","2026-08-09a@OR","2026-08-09"
"Singapore","gov_sport_budget_annual","SGD 513.36 million (SportSG operating budget, FY2025)","singaporebudget.gov.sg/docs/librariesprovider3/budget2025/download/pdf/53-mccy-2025.pdf","2026-08-09a@OR","2026-08-09"
"Singapore","gov_sport_budget_annual","SportSG FY2023/24 total expenditure SGD 813.107 million (incl. depreciation/finance costs); govt operating grant SGD 471.588M (Group) / SGD 462.860M (Council); total income SGD 260.203M; net deficit SGD 14.4M","isomer-user-content.by.gov.sg/46/47e49eb6-6ef1-44fd-8c62-bdc801aa7ac2/23_24b.pdf","2026-08-09a@OR","2026-08-09"
"Singapore","population","6.11 million (total, as at end-June 2025)","websearch:singapore population 2024 2025 singstat.gov.sg total population","2026-08-09a@OR","2026-08-09"
"Singapore","registered_athletes","107 spexScholars (elite scholarship athletes, 2026 cohort, across 30 sports)","sportsingapore.gov.sg/media-centre/largest-spexscholars-and-spexpotential-athlete-cohorts-unveiled-to-enhance-singapore-s-sporting-ambitions","2026-08-09a@OR","2026-08-09"
"Singapore","registered_athletes","140 spexPotential athletes (2026 cohort, across 31 sports); 247 combined spexScholarship+spexPotential total","sportsingapore.gov.sg/media-centre/largest-spexscholars-and-spexpotential-athlete-cohorts-unveiled-to-enhance-singapore-s-sporting-ambitions","2026-08-09a@OR","2026-08-09"
"Singapore","gov_sport_spend_per_capita","~SGD 84.0 (calc: 513.36M / 6.11M pop)","singaporebudget.gov.sg/docs/librariesprovider3/budget2025/download/pdf/53-mccy-2025.pdf","2026-08-09a@OR","2026-08-09"
"Singapore","gov_sport_spend_per_athlete","~SGD 4.8 million per spexScholar (calc: 513.36M / 107)","singaporebudget.gov.sg/docs/librariesprovider3/budget2025/download/pdf/53-mccy-2025.pdf","2026-08-09a@OR","2026-08-09"
"India — Ministry of Youth Affairs & Sports","gov_sport_budget_annual","INR 4,479.88 crore (~INR 44.7988 billion) 2026-27 Budget Estimate (BE); revenue ₹4,461.51cr + capital ₹18.37cr","indiabudget.gov.in/doc/eb/sbe102.pdf","2026-08-09a@OR","2026-08-09"
"India — Sports Authority of India (SAI)","gov_sport_budget_annual","INR 917.38 crore 2026-27 BE (sub-component of MoYAS budget, up from ₹880cr)","outlookindia.com/sports/others/union-sports-budget-2026-total-allocation-goods-manufacturing-khelo-india","2026-08-09a@OR","2026-08-09"
"India — Khelo India scheme","gov_sport_budget_annual","INR ~655 crore 2026-27 (sub-component of MoYAS budget)","outlookindia.com/sports/others/union-sports-budget-2026-total-allocation-goods-manufacturing-khelo-india","2026-08-09a@OR","2026-08-09"
"India","population","~1,477,527,450 (approx 1.4775 billion), as of 25 July 2026","google:India population 2026 census projection billion","2026-08-09a@OR","2026-08-09"
"India","gov_sport_spend_per_capita","INR ~30.3 per capita (calc: 44,798,800,000 / 1,477,527,450)","indiabudget.gov.in/doc/eb/sbe102.pdf","2026-08-09a@OR","2026-08-09"
"India — TOPS (Target Olympic Podium Scheme)","registered_athletes","98 Core Group + 165 Development Group = 263 total TOPS athletes (per PIB Viksit Bharat doc, June 2026); NOTE conflicting historic figures also seen: 270 total (101 core/169 dev), 301 total (107 core), and 258 Development Group alone in earlier SAI PDF list","google:""TOPS"" athletes total 2025 OR 2026 core group development group number site:sportsauthorityofindia.nic.in OR site:pib.gov.in","2026-08-09a@OR","2026-08-09"
"Israel","population","10,027,000","websearch:הלשכה המרכזית לסטטיסטיקה אוכלוסיית ישראל 2024 cbs.gov.il","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","990,957,329 ILS","next.obudget.org/i/budget/001943/2025","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","1,062,848,000 ILS (approved after transfers; 1,088,000,000 as originally approved)","next.obudget.org/i/budget/001943/2025","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","864,400,000 ILS","fs.knesset.gov.il/globaldocs/MMM/c007d8a9.../2_..._18258.pdf","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","933,100,000 ILS","fs.knesset.gov.il/globaldocs/MMM/c007d8a9.../2_..._18258.pdf","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","691,600,000 ILS","fs.knesset.gov.il/globaldocs/MMM/c007d8a9.../2_..._18258.pdf","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","~2,400,000,000 ILS","websearch:תקציב משרד התרבות והספורט 2025 מיליארד שקל אושר","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_budget_annual","~1,950,000,000 ILS","websearch:מנהל הספורט תקציב 2024 משרד התרבות והספורט תקציב שנתי","2026-08-09a@OR","2026-08-09"
"Israel","registered_athletes","80,800","he.wikipedia.org/wiki/ספורט_בישראל","2026-08-09a@OR","2026-08-09"
"Israel","gov_sport_spend_per_capita","~99 ILS","next.obudget.org/i/budget/001943/2025","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","gov_sport_budget_annual","AED 226.21 million (2025)","sports.gov.ae/ministry-of-sports-budget-overview","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","gov_sport_budget_annual","AED 237.06 million (2024)","sports.gov.ae/ministry-of-sports-budget-overview","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","gov_sport_budget_annual","AED 181.52 million (2026, budgeted)","sports.gov.ae/ministry-of-sports-budget-overview","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","population","11,300,000 (approx, end of 2024)","google:uae population 2025 fcsc official statistics fcsc.gov.ae","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","gov_sport_spend_per_capita","~AED 20.0 (2025 budget AED226.21M / ~11.3M population, calculated not published)","sports.gov.ae/ministry-of-sports-budget-overview","2026-08-09a@OR","2026-08-09"
"United Arab Emirates","registered_athletes","not found — dataset 'Number of registered players in all sports federations for 2025' exists on sports.gov.ae Open Data but figure not retrieved","sports.gov.ae/statistics-and-studies","2026-08-09a@OR","2026-08-09"
"Qatar","gov_sport_budget_annual","QAR 6.6 billion (2025)","qna.org.qa/en/news/news-details?id=0067-minister-of-finance-highlights-key-figures-of-state-public-budget-financial-plans-for-2025","2026-08-09a@OR","2026-08-09"
"Qatar","gov_sport_budget_annual","QAR 7.6 billion (2026)","websearch:2026 budget qatar qna sports sector qr billion 2026","2026-08-09a@OR","2026-08-09"
"Qatar","population","~3,054,000 (Aug 2024)","websearch:qatar population 2025 psa.gov.qa planning and statistics authority","2026-08-09a@OR","2026-08-09"
"Qatar","population","~3.25 million (projected end-2025)","websearch:qatar population 2025 psa.gov.qa planning and statistics authority","2026-08-09a@OR","2026-08-09"
"Qatar Olympic Committee","national_federations_count","23","websearch:qatar olympic committee registered athletes number federations","2026-08-09a@OR","2026-08-09"
"Saudi Arabia","gov_sport_budget_annual","no single consolidated Ministry of Sport annual budget figure found; MOF national budget statement bundles sport into 'Health and Social Development Sector' (SAR 259bn total FY2026) without a sport-specific line item","mof.gov.sa/en/budget/2026/BudgetStatementDocs/Eng_2026.pdf","2026-08-09a@OR","2026-08-09"
"Saudi Arabia","gov_sport_budget_annual","SAR 2.6 billion earmarked for development of Saudi sporting federations under Vision 2030 (program-level, not full ministry budget)","engine:web search ministry of sport saudi arabia budget billion allocation sector spending statement 2025","2026-08-09a@OR","2026-08-09"
"Saudi Arabia","gov_sport_budget_annual","SAR 1.7 billion ($453m) for three club-support/development initiatives, 2024-2025 season (incl SAR 1.04bn direct club support)","arabnews.com/node/2581501/business-economy","2026-08-09a@OR","2026-08-09"
"Saudi Arabia","registered_athletes","not found; only count of sport federations (97) located, no consolidated registered-athlete total across federations","spa.gov.sa/en/w2448777","2026-08-09a@OR","2026-08-09"
"Saudi Arabia","population","35,300,280 (mid-2024, official GASTAT figure: 62.1% male, 37.9% female)","engine:web search saudi arabia population 2025 gastat","2026-08-09a@OR","2026-08-09"
